id;title;description;type;url;image;price;price_normal;price_shipping;coupon;coupon_type;coupon_value;coupon_percentage;date_start;date_end;date_publication;views;jhi_like;dislike;local;statut;is_deleted;is_blocked;assigned_to_id
1;Florida Sleek;Bacon monitor;DEAL;http://jovanny.name;sensor Secured;30102;75357;39209;Buckinghamshire info-mediaries Maine;PERCENTAGE;4157;14;2020-06-08;2020-06-08;2020-06-09;63918;34536;64611;true;EXPIRED;false;false;2
2;interface District core;out-of-the-box;COUPON;https://brannon.net;copying Botswana Russian Ruble;50603;63340;19787;asynchronous Facilitator;DHS;42118;33;2020-06-08;2020-06-09;2020-06-08;78389;54274;87878;true;EXPIRED;false;true;3
3;Kids Lane;web services deposit feed;DEAL;http://gideon.net;override Brand Belize;33538;13047;3941;Heights Monaco withdrawal;PERCENTAGE;41699;6;2020-06-08;2020-06-08;2020-06-08;74610;99781;44895;false;ACTIVE;false;false;3
4;invoice;withdrawal;COUPON;http://dennis.info;Factors ADP;83241;42048;61139;Tools;PERCENTAGE;30869;79;2020-06-08;2020-06-08;2020-06-09;22976;42937;87504;false;PENDING;true;false;2
5;leading-edge primary extend;Buckinghamshire incentivize Marketing;COUPON;https://ken.com;seize;98173;84130;4719;Route THX;PERCENTAGE;19593;71;2020-06-08;2020-06-09;2020-06-08;42701;77909;4798;true;PENDING;true;true;2
6;wireless Senior;e-business revolutionary client-driven;DEAL;http://anthony.name;Personal Loan Account SDD ROI;43434;60108;75502;yellow experiences Manat;DHS;4855;86;2020-06-08;2020-06-08;2020-06-09;24287;38396;74713;true;ACTIVE;true;false;4
7;New York Facilitator Frozen;Planner Ways;DEAL;http://winston.com;grey monitoring Berkshire;18977;90229;7971;Future Beauty generate;PERCENTAGE;74192;50;2020-06-08;2020-06-09;2020-06-08;29762;77240;74496;false;HIDDEN;false;false;3
8;synthesizing Games;microchip Bond Markets Units European Composite Unit (EURCO);COUPON;https://rodger.biz;forecast Intelligent;24778;91209;47458;system-worthy Chicken Somoni;DHS;78680;85;2020-06-08;2020-06-08;2020-06-09;18671;93615;618;false;ACTIVE;true;true;3
9;Implemented e-services generate;Mississippi networks New Caledonia;DEAL;https://lawrence.info;installation Kids;87087;61048;27550;Future mobile Profound;DHS;5251;6;2020-06-08;2020-06-09;2020-06-08;87382;15918;93047;false;ACTIVE;false;true;3
10;communities Extensions;fuchsia Bridge;DEAL;https://clovis.com;invoice morph withdrawal;7031;22574;41142;bluetooth IB;DHS;86519;33;2020-06-09;2020-06-08;2020-06-08;21662;75146;666;true;ACTIVE;true;true;3
