id;name;description;is_parent
1;Freeway;hack Bike;false
2;Computers deposit;Generic Producer hybrid;true
3;Rubber revolutionize Investor;info-mediaries;true
4;Communications;Netherlands Antilles Berkshire Multi-channelled;true
5;Wisconsin generate silver;innovative Officer;true
6;Assistant harness;Developer;false
7;functionalities;Intelligent Soft Keyboard Delaware copying;false
8;Accountability payment;Incredible Rubber Car;false
9;Dobra;Awesome Metal Computer asynchronous fuchsia;true
10;architect Quetzal;compress Pitcairn Islands Engineer;false
