id;attribut_name;attribut_last_value;date_modification;deal_id
1;rich parse;Movies Cambridgeshire Avon;2020-06-09;1
2;navigate;Gloves;2020-06-09;2
3;syndicate Chicken generating;distributed program;2020-06-08;3
4;application connecting;system;2020-06-08;4
5;West Virginia definition Denar;Buckinghamshire Kansas El Salvador Colon US Dollar;2020-06-09;5
6;Computer;Bulgaria;2020-06-08;6
7;New York Small Plastic Bike;Baby;2020-06-08;7
8;Cheese;transitional;2020-06-09;8
9;Principal;bluetooth North Dakota wireless;2020-06-08;9
10;Auto Loan Account magenta;Jewelery Multi-channelled Metrics;2020-06-09;10
