id;reason;date_report;date_close;is_valid;assigned_to_id;deal_id
1;Kazakhstan;2020-06-08;2020-06-09;true;1;1
2;reintermediate;2020-06-08;2020-06-08;true;2;2
3;AI Ramp;2020-06-09;2020-06-09;true;3;3
4;executive;2020-06-08;2020-06-09;true;4;4
5;Games Engineer Yemeni Rial;2020-06-09;2020-06-08;false;3;5
6;Future parse;2020-06-09;2020-06-08;false;3;6
7;SCSI Health;2020-06-08;2020-06-08;true;2;7
8;Graphical User Interface Technician;2020-06-08;2020-06-08;false;2;8
9;action-items;2020-06-08;2020-06-08;false;2;9
10;SSL system;2020-06-08;2020-06-09;true;4;10
